participant_id,session_id,age,gender,education,employment,condition,interest,load,created_at,assigned_category,selected_product,PAAS_Score,PIES_AC,NRQ_ICL_Score,NRQ_ECL_Score,NRQ_Score,PIES_Score,ECM_CI_Score,ECM_S_Score,ECM_PU_Score,ECM_Score,total_hovertime_ms,n_hovers,mean_hovertime_ms,median_hovertime_ms,sd_hovertime_ms,total_hovertime_s,mean_hovertime_s,median_hovertime_s,sd_hovertime_s,submovements,trial_duration_ms,submovements_per_s,mean_submovement_deviation,total_distance_norm,max_velocity_norm_s,min_velocity_norm_s,mean_velocity_norm_s,std_velocity_norm_s,n_steps
01caf55c-3693-4aa3-bac2-862230173a5e,e9f90cc4-4355-4f0e-be34-cd7a61189a56,56,Female,A-Levels (Allgemeine Hochschulreife),Full-Time,LIHL,Low,High,2026-01-04T15:03:49Z,Backpack,DB Daypack,2,5,1.5,3,2.4,3.4545454545454546,3,4,4,3.727272727272727,170272,57,2987.2280701754385,1556,3643.946668387882,170.272,2.9872280701754383,1.556,3.6439466683878816,67,195685,0.3423869995145259,1.6389346854695033,125.91760141196966,51.886206793811766,0,0.6382332221774073,2.932886905285673,4889
01f97700-9c92-4464-9bf8-21132acaa881,5569e475-ec72-4081-8d77-1256c55e8779,25,Male,Bachelor's Degree,Working-Student / Temporary,LILL,Low,Low,2025-12-30T13:40:09Z,Electric Toothbrush,Oral-B Pro Series 3 (3500),4,5,2,4.333333333333333,3.4,2.8181818181818183,7,7,5.5,6.454545454545454,63215,28,2257.6785714285716,938,3138.035868991839,63.215,2.257678571428571,0.938,3.138035868991839,39,68287,0.5711189538272291,1.280279199964575,49.75931391816094,46.16517654530072,0,0.7451446564387698,2.9851975329108256,1423
05bcca80-e838-4ef3-8ba8-39e870310e8f,5b46de25-5e4a-4cf8-91bf-b2268c1321c0,25,Female,Bachelor's Degree,Working-Student / Temporary,HILL,High,Low,2025-12-30T19:28:33Z,Water Bottle,24 Bottles - Clima Bottle,2,5,2,2,2,4.090909090909091,7,7,7,7,35579,12,2964.9166666666665,1225,3749.4007874794497,35.579,2.9649166666666664,1.225,3.7494007874794497,10,51365,0.19468509685583568,1.9922576980565752,26.969957833997405,56.39657644181292,0,0.5266464084481539,2.916134364721201,1282
09836b97-00f6-47f3-b9aa-c34ad5867121,7f5432ca-dc2e-4c30-8ecf-33ebe1e958b4,26,Male,Master's Degree,Full-Time,LIHL,Low,High,2025-12-12T10:11:43Z,Detergent,Ariel All-in-1 Pods,6,5,2,5.333333333333333,4,3.4545454545454546,6,5.25,3.25,4.7272727272727275,45903,18,2550.1666666666665,995,5253.010411407248,45.903,2.5501666666666667,0.995,5.253010411407248,21,48050,0.43704474505723206,2.8524260604510263,48.51654520030987,61.207524508999605,0,1.003921678899789,4.438612943865308,1034
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,aed2659e-fc6e-4a03-9eea-7be2d281211b,26,Male,Master's Degree,Full-Time,LIHL,Low,High,2025-12-23T10:46:44Z,Water Bottle,720° DGREE noLimit Bottle,6,5,5.5,6,5.8,2.909090909090909,5,5.75,3,4.545454545454546,29332,17,1725.4117647058824,1878,1376.9775351664025,29.332,1.7254117647058824,1.878,1.3769775351664024,23,31914,0.7206868458983517,1.6062258899671724,41.41580148386199,64.2466379136334,0,1.293324271719025,4.685088131607515,788
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,87927c15-49d0-4962-b182-ab5a768263a6,25,Male,Master's Degree,Full-Time,LILL,Low,Low,2025-12-18T19:31:12Z,Water Bottle,Nalgene Water Bottle,2,5,2.5,5,4,2.090909090909091,6,4.75,4.25,4.909090909090909,6927,15,461.8,217,522.2023690923991,6.927,0.4618,0.217,0.522202369092399,13,15612,0.8326928004099411,1.551614442896055,25.555861991068156,37.21272281766031,0,1.676361774214972,4.246060066323815,382
10e43c6b-430c-47be-8c7e-acfe0fe439b5,f4a35592-edb9-44d2-b455-a4c905170996,24,Male,Master's Degree,Working-Student / Temporary,HILL,High,Low,2025-12-19T09:08:13Z,Smartwatch,Apple Watch Series 11,4,5,3.5,2.6666666666666665,3,3.8181818181818183,6.333333333333333,5.75,6,6,27442,10,2744.2,483.5,5095.1100260718395,27.442,2.7442,0.4835,5.09511002607184,18,31428,0.572737686139748,2.375915764871253,25.802599921308968,42.45594471246259,0,0.8193570617537572,2.925097313684972,656
15b9dd42-a1f4-43d2-a040-9bfa65d63082,203e8e3b-4902-498a-b76b-9cf4d5e7f4b7,26,Male,Master's Degree,Full-Time,HIHL,High,High,2026-01-04T08:42:59Z,Speaker,Sonos Era 100,6,5,3.5,4.333333333333333,4,3.5454545454545454,7,7,5.5,6.454545454545454,65023,14,4644.5,2881.5,4112.814285395567,65.023,4.6445,2.8815,4.112814285395567,31,107025,0.28965195047886005,1.96208297831347,43.808231273974855,45.99597964981852,0,0.4125441009985194,2.092159869139487,2602
1826a545-f6f3-47b9-a091-81477ba89250,d7e74b75-65e8-4b6b-8587-86fa638e2473,24,Male,Bachelor's Degree,Working-Student / Temporary,LILL,Low,Low,2025-12-02T14:17:33Z,Water Bottle,Waterdrop All-Purpose Sport Bottle,6,5,5.5,5.333333333333333,5.4,3.3636363636363638,6.666666666666667,6,7,6.545454545454546,48314,18,2684.1111111111113,894,5498.613588777884,48.314,2.684111111111111,0.894,5.498613588777884,17,50633,0.33574941243852824,3.154485541492834,29.35169093055355,76.85525828219942,0,0.6081671379688475,3.312585869185844,1263
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,6f8f1632-fc99-4cd6-85de-6d77cd493874,34,Male,Master's Degree,Full-Time,LIHL,Low,High,2025-12-04T14:24:06Z,Backpack,Kapten & Son Helsinki Pro,2,5,2,4,3.2,4.181818181818182,5.666666666666667,6,5.75,5.818181818181818,46053,19,2423.842105263158,1033,2878.6935938056245,46.053,2.423842105263158,1.033,2.8786935938056244,22,49806,0.4417138497369795,1.4728180478845156,31.09506573305189,51.70186864113959,0,0.6305675809393378,3.102925793669222,1243
23242b4f-c591-42a9-98cd-e26b42ba18ad,901361b0-ae4e-42ac-9c6c-06d6b395fe6e,26,Male,Master's Degree,Working-Student / Temporary,LIHL,Low,High,2025-12-02T16:01:03Z,Detergent,Denk mit – Ultra Sensitive,5,5,4,4.333333333333333,4.2,3.909090909090909,6,6,5,5.636363636363637,28082,38,739,533.5,902.4623073659178,28.082,0.739,0.5335,0.9024623073659178,28,30464,0.9191176470588236,4.131908096392576,69.08287307758424,51.60149242517453,0,2.296957198383442,5.871397449061447,503
241ca21f-0214-47fa-933c-b2c656f1819d,cc068684-3570-4674-8df9-fd78509f755e,63,Male,FH-Diplomabschluss,Self-employed,LIHL,Low,High,2025-12-09T13:03:09Z,Backpack,Patagonia Black Hole Micro,3,5,3,5.333333333333333,4.4,3.6363636363636362,6.333333333333333,6,6,6.090909090909091,163646,41,3991.3658536585367,1616,6456.361331106313,163.646,3.991365853658537,1.616,6.456361331106312,77,167917,0.4585598837520918,1.716625617446489,99.39251458265636,48.28302841761182,0,0.5883648530351713,2.1075407810869877,3601
2a788a65-9288-433d-8ecb-788fe69b57cd,3e05d04d-3487-4426-8079-827f77c7778f,26,Female,Bachelor's Degree,Working-Student / Temporary,HILL,High,Low,2025-12-08T12:28:02Z,Electric Toothbrush,Oral-B iO Series 5,6,5,5.5,1.3333333333333333,3,4.636363636363637,6,6,7,6.363636363636363,55596,31,1793.4193548387098,734,2724.7706420197833,55.596,1.7934193548387098,0.734,2.7247706420197835,30,59276,0.5061070247655037,2.0536117039377837,77.00306167475343,71.7734872689605,0,1.3052416712116146,5.658609378711884,1478
